calendar_date,holiday,price,quantity,item_name
2012-01-01,New Year,155.0,920,BURGER
2012-01-01,New Year,127.30000000000001,440,COFFEE
2012-01-01,New Year,127.5,360,LEMONADE
2012-01-01,New Year,126.0,600,SANDWICH
2012-01-02,New Year,155.0,1400,BURGER
2012-01-02,New Year,127.30000000000001,440,COFFEE
2012-01-02,New Year,127.5,320,LEMONADE
2012-01-02,New Year,126.0,680,SANDWICH
2012-01-03,New Year,155.0,1240,BURGER
2012-01-03,New Year,127.30000000000001,520,COFFEE
2012-01-03,New Year,127.5,240,LEMONADE
2012-01-03,New Year,126.0,560,SANDWICH
2012-01-04,,155.0,1760,BURGER
2012-01-04,,127.30000000000001,520,COFFEE
2012-01-04,,127.5,480,LEMONADE
2012-01-04,,126.0,840,SANDWICH
2012-01-05,,155.0,2080,BURGER
2012-01-05,,127.30000000000001,720,COFFEE
2012-01-05,,127.5,480,LEMONADE
2012-01-05,,126.0,1160,SANDWICH
2012-01-06,,155.0,2000,BURGER
2012-01-06,,127.30000000000001,760,COFFEE
2012-01-06,,127.5,400,LEMONADE
2012-01-06,,126.0,1080,SANDWICH
2012-01-07,,155.0,1400,BURGER
2012-01-07,,127.30000000000001,480,COFFEE
2012-01-07,,127.5,360,LEMONADE
2012-01-07,,126.0,840,SANDWICH
2012-01-08,,155.0,1400,BURGER
2012-01-08,,127.30000000000001,520,COFFEE
2012-01-08,,127.5,360,LEMONADE
2012-01-08,,126.0,840,SANDWICH
2012-01-09,,155.0,2120,BURGER
2012-01-09,,127.30000000000001,680,COFFEE
2012-01-09,,127.5,480,LEMONADE
2012-01-09,,126.0,1080,SANDWICH
2012-01-10,,155.0,2160,BURGER
2012-01-10,,127.30000000000001,800,COFFEE
2012-01-10,,127.5,560,LEMONADE
2012-01-10,,126.0,1160,SANDWICH
2012-01-11,,155.0,2080,BURGER
2012-01-11,,127.30000000000001,640,COFFEE
2012-01-11,,127.5,520,LEMONADE
2012-01-11,,126.0,1040,SANDWICH
2012-01-12,,155.0,2040,BURGER
2012-01-12,,127.30000000000001,640,COFFEE
2012-01-12,,127.5,520,LEMONADE
2012-01-12,,126.0,1200,SANDWICH
2012-01-13,,155.0,2000,BURGER
2012-01-13,,127.30000000000001,800,COFFEE
2012-01-13,,127.5,520,LEMONADE
2012-01-13,,126.0,1160,SANDWICH
2012-01-14,,155.0,1480,BURGER
2012-01-14,,127.30000000000001,480,COFFEE
2012-01-14,,127.5,400,LEMONADE
2012-01-14,,126.0,840,SANDWICH
2012-01-15,,155.0,1200,BURGER
2012-01-15,,127.30000000000001,440,COFFEE
2012-01-15,,127.5,360,LEMONADE
2012-01-15,,126.0,640,SANDWICH
2012-01-16,,155.0,2080,BURGER
2012-01-16,,127.30000000000001,800,COFFEE
2012-01-16,,127.5,560,LEMONADE
2012-01-16,,126.0,1120,SANDWICH
2012-01-17,,155.0,2120,BURGER
2012-01-17,,127.30000000000001,760,COFFEE
2012-01-17,,127.5,440,LEMONADE
2012-01-17,,126.0,1080,SANDWICH
2012-01-18,,155.0,2160,BURGER
2012-01-18,,127.30000000000001,800,COFFEE
2012-01-18,,127.5,480,LEMONADE
2012-01-18,,126.0,1160,SANDWICH
2012-01-19,,155.0,2000,BURGER
2012-01-19,,127.30000000000001,640,COFFEE
2012-01-19,,127.5,480,LEMONADE
2012-01-19,,126.0,1080,SANDWICH
2012-01-20,,155.0,2000,BURGER
2012-01-20,,127.30000000000001,720,COFFEE
2012-01-20,,127.5,440,LEMONADE
2012-01-20,,126.0,1160,SANDWICH
2012-01-21,,155.0,1400,BURGER
2012-01-21,,127.30000000000001,440,COFFEE
2012-01-21,,127.5,440,LEMONADE
2012-01-21,,126.0,800,SANDWICH
2012-01-22,,155.0,1480,BURGER
2012-01-22,,127.30000000000001,600,COFFEE
2012-01-22,,127.5,320,LEMONADE
2012-01-22,,126.0,680,SANDWICH
2012-01-23,,155.0,2160,BURGER
2012-01-23,,127.30000000000001,760,COFFEE
2012-01-23,,127.5,400,LEMONADE
2012-01-23,,126.0,1040,SANDWICH
2012-01-24,,155.0,2000,BURGER
2012-01-24,,127.30000000000001,720,COFFEE
2012-01-24,,127.5,520,LEMONADE
2012-01-24,,126.0,1120,SANDWICH
2012-01-25,,155.0,2000,BURGER
2012-01-25,,127.30000000000001,760,COFFEE
2012-01-25,,127.5,520,LEMONADE
2012-01-25,,126.0,1200,SANDWICH
2012-01-26,,155.0,2120,BURGER
2012-01-26,,127.30000000000001,760,COFFEE
2012-01-26,,127.5,520,LEMONADE
2012-01-26,,126.0,1040,SANDWICH
2012-01-27,,155.0,1720,BURGER
2012-01-27,,127.30000000000001,560,COFFEE
2012-01-27,,127.5,360,LEMONADE
2012-01-27,,126.0,920,SANDWICH
2012-01-28,,155.0,1240,BURGER
2012-01-28,,127.30000000000001,480,COFFEE
2012-01-28,,127.5,280,LEMONADE
2012-01-28,,126.0,680,SANDWICH
2012-01-29,,155.0,1400,BURGER
2012-01-29,,127.30000000000001,440,COFFEE
2012-01-29,,127.5,280,LEMONADE
2012-01-29,,126.0,760,SANDWICH
2012-01-30,,155.0,2120,BURGER
2012-01-30,,127.30000000000001,680,COFFEE
2012-01-30,,127.5,440,LEMONADE
2012-01-30,,126.0,1040,SANDWICH
2012-01-31,,155.0,1680,BURGER
2012-01-31,,127.30000000000001,600,COFFEE
2012-01-31,,127.5,320,LEMONADE
2012-01-31,,126.0,840,SANDWICH
2012-02-01,,155.0,1800,BURGER
2012-02-01,,127.30000000000001,560,COFFEE
2012-02-01,,127.5,400,LEMONADE
2012-02-01,,126.0,960,SANDWICH
2012-02-02,Luner New Year,155.0,1280,BURGER
2012-02-02,Luner New Year,127.30000000000001,360,COFFEE
2012-02-02,Luner New Year,127.5,360,LEMONADE
2012-02-02,Luner New Year,126.0,680,SANDWICH
2012-02-03,Luner New Year,155.0,1240,BURGER
2012-02-03,Luner New Year,127.30000000000001,400,COFFEE
2012-02-03,Luner New Year,127.5,320,LEMONADE
2012-02-03,Luner New Year,126.0,640,SANDWICH
2012-02-04,Luner New Year,155.0,840,BURGER
2012-02-04,Luner New Year,127.30000000000001,240,COFFEE
2012-02-04,Luner New Year,127.5,320,LEMONADE
2012-02-04,Luner New Year,126.0,400,SANDWICH
2012-02-05,Luner New Year,155.0,760,BURGER
2012-02-05,Luner New Year,127.30000000000001,240,COFFEE
2012-02-05,Luner New Year,127.5,160,LEMONADE
